Car_ID,Year,Car_Make,Car_Model,totals,ranking
44,2018,Honda,Civic si,40,70
19,2001,Mitsu,Evo7,40,71
20,2009,Infiniti,G37,38,72
99,2014,Honda,Civic si,38,73
145,1990,Volkswagen,Gti,38,74
179,2004,Volkswagen,R32,38,75
18,2015,Audi,S3,38,76
200,2016,Subaru,WRX,36,77
162,2014,Nissan,370z,36,78
78,2015,Mazda,6,36,79
10,2001,Nissan,S15,34,80
17,2016,Mercedes,C43,34,81
4341,1992,Nissan,Rps13,32,82
46,2008,Volkswagen,R32,32,83
24,2013,Subaru,BRZ,32,84
7,2014,Nissan,Sentra,30,85
181,2003,Volkswagen,Gti,30,86
120,2014,Ford,Focus st,30,87
92,2017,Hyundai,Elantra sport,30,88
11,1991,Nissan,Skyline,30,89
116,2008,Audi,A4,28,90
238,1982,Volkswagen,Rabbit,28,91
144,2016,Volkswagen,Gti,28,92
14,1990,Nissan,Skyline,26,93
98,2012,Mercedes,C63,26,94
114,2010,Volkswagen,Gti,26,95
219,2016,Ford,Focus rs,26,96
141,1993,Mazda,Miata,26,97
187,2007,Subaru,Legacy,26,98
242,2014,Nissan,Maxima,26,99
2,2016,Bmw,M2,24,100
130,2016,Honda,Civic si,24,101
241,2007,Toyota,Camry,24,102
22,2007,Honda,Civic,24,103
81,2016,Volkswagen,GTI,24,104
163,2013,Mitsu,Ralliart,22,105
93,2005,Acura,TL,22,106
150,2006,Nissan,350z,22,107
100,2006,Volvo,S60r,22,108
172,2014,Bmw,4,22,109
167,2016,Ford,Mystang,20,110
230,2004,Acura,Tsx,20,111
182,2012,Volkswagen,Cc,20,112
235,2013,Scion,Frs,20,113
79,1993,Mazda,Miata,18,114
226,2008,Honda,Accord,18,115
34,2010,Honda,Fit,18,116
183,2005,Volkswagen,Jetta,16,117
89,2014,Honda,Civic si,16,118
Vip,2008,Volkswagen,Gli,16,119
159,2013,Hyundai,Gen coupe,14,120
67,2015,Subaru,Sti,14,121
108,2013,Audi,S4,14,122
220,2004,Audi,A4,14,123
186,2012,Volkswagen,Gli,14,124
4,2007,Honda,Civic,14,125
193,2014,Nissan,Ssntra,14,126
177,2005,Volkswagen,Jetta gli,12,127
76,2005,Subaru,Sti,12,128
68,2013,Nissan,Altima,10,129
102,2015,Honda,Accord,10,130
111,2007,Bmw,328i,10,131
243,2008,Toyota,Matrix,10,132
16,2008,Nissan,350z,10,133
96,2017,Volkswagen,Gti,10,134
138,1990,Mazda,Miata,10,135
94,2004,Volkswagen,Gti,10,136
190,1995,Lexus,Sc300,10,137
237,1987,Volkswagen,Jetta,10,138
184,2010,Volkswagen,Cc,8,139
42,2001,Dodge,Viper,8,140
28,1995,Bmw,318xi,8,141
185,2013,Volkswagen,Jett,8,142
74,2015,Honda,Accord,8,143
69,2018,Subaru,WRX,8,144
86,1996,Volkswagen,Jetta,8,145
1,2012,Subaru,WRX,6,146
75,2012,Subaru,WRX,6,147
212,2001,Lexus,Is300,6,148
40,2007,Subaru,Legacy,6,149
71,2008,Acura,TL,6,150
66,2010,Volkswagen,Gti,4,151
72,2016,Honda,Civic si,4,152
174,2006,Acura,Rsx,4,153
197,2010,Audi,A4,2,154
101,2014,Honda,Civic,0,155
0,2015,Chevy,Camaro,0,156
70,2014,Honda,Civic,0,157
178,2009,Honda,Oddesy,,158
95,2004,Infiniti,G35,,159
36,2016,Subaru,WRX,,160
59,2012,Volkswagen,Golf,,161
Showcar,2014,Nissan,Gtr,,162
33,2015,Subaru,Sti,,163
153,2017,Subaru,Brz,,164
180,2011,Volkswagen,Gti,,165
9,1996,Nissan,240,,166
64,2004,Subaru,Forester,,167
